은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,포화도,클러스터,고령유동총합_500m,고령유동밀집도,유동인구스코어,인프라성숙도
2,iM뱅크(구 대구은행),가톨릭대학병원출장소,대구광역시 남구 대명동 두류공원로17길33,남구,대명4동,35.84418911,128.5658257,2.193438016,1.672771188,9402,3085,7.499026808377577,3,1.5276924022621097,0,308.4930660377359,392.78557095584137,4.545454545454545,5.577857414047378
4,iM뱅크(구 대구은행),경북대지점,대구광역시 북구 산격동 대학로80,북구,대현동,35.88909749,128.6143223,3.105214656,1.0,15719,4215,5.846994448843874,4,1.7111238320629458,0,55.78557717081671,71.02840287975896,1.6411334643316868,6.183746958800657
11,iM뱅크(구 대구은행),남구청출장소,대구광역시 남구 봉덕동 이천로51,남구,봉덕1동,35.84578414,128.59726,3.587704785,3.594363113,7906,2480,7.101384762285553,5,1.169750430292599,0,284.7628301886793,362.57129626693046,4.2727272727272725,7.451114807454108
13,iM뱅크(구 대구은행),내당동지점,대구광역시 서구 내당동 달서로1,서구,내당2.3동,35.86244661,128.5716056,4.404365791,4.580879498,8107,2898,8.307407147348716,1,2.674037988689452,6,200.42521725460756,255.18931237070257,3.3034504686472927,9.003894560472023
15,iM뱅크(구 대구은행),노원동지점,대구광역시 북구 노원동3가 노원로169,북구,노원동,35.89937286,128.5785879,1.983111542,1.51794229,11171,3107,6.122009185744536,4,1.4490295365134007,0,94.98077922077924,120.93328409365594,2.0915967731279053,1.6272150915888082
17,iM뱅크(구 대구은행),달서구청출장소,대구광역시 달서구 월성동 학산로45,달서구,월성2동,35.82991552,128.5328356,4.827482387,4.748051138,13814,5124,8.678146185041296,3,1.866701499953897,6,156.35892857142852,199.0823710295635,2.79700464955722,4.806327752021181
18,iM뱅크(구 대구은행),달성공단영업부,대구광역시 달성군 논공읍 논공중앙로33길17,달성군,논공읍,35.73104702,128.4522915,1.939181041,1.035370619,4224,1380,7.4599913481525455,5,1.0,0,0.0,0.0,1.0,1.9199803127910373
19,iM뱅크(구 대구은행),달성군청출장소,대구광역시 달성군 논공읍 달성군청로33,달성군,논공읍,35.77466317,128.4313897,1.917841329,1.0,4224,1380,7.4599913481525455,5,1.0,0,0.0,0.0,1.0,1.0890683711284248
25,iM뱅크(구 대구은행),대구국제공항출장소,대구광역시 동구 지저동 공항로221,동구,지저동,35.89910868,128.6392615,2.703059003,2.396844264,12760,4179,7.482118349845019,1,3.746619129579543,0,9.319606146254335,11.866091086767891,1.1071085337426732,2.364427912438829
27,iM뱅크(구 대구은행),대구시산격청사점,대구광역시 북구 산격동 연암로40,북구,산격4동,35.89202721,128.5984093,4.003617955,3.363890275,7202,2283,7.19254552796712,2,1.6353423899680353,0,0.0,0.0,1.0,4.67017094469732
