번호,소속지회,경로당명,주소,구군,동,위도,경도
1,남구지회,이천1동경로당,대구광역시 남구 이천로 143-6 (이천동),남구,이천동,35.8540399145568,128.597997301334
2,남구지회,상아경로당,대구광역시 남구 명덕로 236(이천동),남구,이천동,35.8538149615203,128.594893746893
3,남구지회,대동경로당,대구광역시 남구 이천로28길 42-43 (이천동),남구,이천동,35.8533770752131,128.599639384016
4,남구지회,화수경로당,대구광역시 남구 대봉로36길 17 (이천동),남구,이천동,35.8536034071425,128.603812018009
5,남구지회,강변타운경로당,대구광역시 남구 명덕로68길 19 (이천동),남구,이천동,35.8544811642663,128.606513110524
6,남구지회,주공1단지경로당,대구광역시 남구 명덕로68길 77 (이천동)  ,남구,이천동,35.8521291279359,128.605876673885
7,남구지회,주공2단지경로당,대구광역시 남구 희망로 55 (이천동)  ,남구,이천동,35.8477258630805,128.604568587133
8,남구지회,희망교대성유니드경로당,대구광역시 남구 희망로5길 12 (이천동)  ,남구,이천동,35.8488082414454,128.601454255123
9,남구지회,교대역월드메르디앙경로당,대구광역시 남구 이천로19길 68 (이천동)  ,남구,이천동,35.8508863205422,128.595511939263
10,남구지회,이천뜨란채3.4단지경로당,대구광역시 남구 대봉로26길 37 (이천동)  ,남구,이천동,35.8509495660118,128.606130156466
11,남구지회,봉덕1동경로당,대구광역시 남구 희망로3길 11-2 (봉덕동)  ,남구,봉덕동,35.8484315268503,128.599711924399
12,남구지회,봉명경로당,대구광역시 남구 중앙대로34길 75 (봉덕동)  ,남구,봉덕동,35.8479837332217,128.594900916117
13,남구지회,동심경로당,대구광역시 남구 이천로 64-1 (봉덕동)  ,남구,봉덕동,35.8470111590093,128.598789964001
14,남구지회,강변코오롱하늘채경로당,대구광역시 남구 봉덕로 134 (봉덕동)  ,남구,봉덕동,35.8441583973923,128.604765216488
15,남구지회,효성백년가약경로당,대구광역시 남구 봉덕로 135 (봉덕동)  ,남구,봉덕동,35.8446591463275,128.604543876633
16,남구지회,한마음경로당,대구광역시 남구 중앙대로26길 21-1 (봉덕동)  ,남구,봉덕동,35.8459226073396,128.592457197955
17,남구지회,한라하우젠트경로당,대구광역시 남구 봉덕로21길 53-16 (봉덕동)  ,남구,봉덕동,35.8472100600912,128.599418207092
18,남구지회,봉덕2동경로당,대구광역시 남구 대덕로38길 46-1 (봉덕동)  ,남구,봉덕동,35.8388142915676,128.603519744009
19,남구지회,남부경로당,대구광역시 남구 이천로10길 50 (봉덕동)  ,남구,봉덕동,35.8438284757567,128.601112176994
