번호,소속지회,경로당명,주소
1,남구지회,이천1동경로당,대구광역시 남구 이천로 143-6 (이천동)
2,남구지회,상아경로당,대구광역시 남구 명덕로 236(이천동)
3,남구지회,대동경로당,대구광역시 남구 이천로28길 42-43 (이천동)
4,남구지회,화수경로당,대구광역시 남구 대봉로36길 17 (이천동)
5,남구지회,강변타운경로당,대구광역시 남구 명덕로68길 19 (이천동)
6,남구지회,주공1단지경로당,대구광역시 남구 명덕로68길 77 (이천동)  
7,남구지회,주공2단지경로당,대구광역시 남구 희망로 55 (이천동)  
8,남구지회,희망교대성유니드경로당,대구광역시 남구 희망로5길 12 (이천동)  
9,남구지회,교대역월드메르디앙경로당,대구광역시 남구 이천로19길 68 (이천동)  
10,남구지회,이천뜨란채3.4단지경로당,대구광역시 남구 대봉로26길 37 (이천동)  
11,남구지회,봉덕1동경로당,대구광역시 남구 희망로3길 11-2 (봉덕동)  
12,남구지회,봉명경로당,대구광역시 남구 중앙대로34길 75 (봉덕동)  
13,남구지회,동심경로당,대구광역시 남구 이천로 64-1 (봉덕동)  
14,남구지회,강변코오롱하늘채경로당,대구광역시 남구 봉덕로 134 (봉덕동)  
15,남구지회,효성백년가약경로당,대구광역시 남구 봉덕로 135 (봉덕동)  
16,남구지회,한마음경로당,대구광역시 남구 중앙대로26길 21-1 (봉덕동)  
17,남구지회,한라하우젠트경로당,대구광역시 남구 봉덕로21길 53-16 (봉덕동)  
18,남구지회,봉덕2동경로당,대구광역시 남구 대덕로38길 46-1 (봉덕동)  
19,남구지회,남부경로당,대구광역시 남구 이천로10길 50 (봉덕동)  
20,남구지회,신협경로당,대구광역시 남구 앞산순환로 728 (봉덕동)  
21,남구지회,효성타운경로당,대구광역시 남구 효성중앙길 37 (봉덕동)  
22,남구지회,고산골경로당,대구광역시 남구 용두길 89-1 (봉덕동)  
23,남구지회,앞산힐스테이트경로당,대구광역시 남구 대덕로 166 (봉덕동)  
24,남구지회,래미안웰리스트경로당,대구광역시 남구 효성중앙길 82 (봉덕동)    
25,남구지회,봉덕화성파크드림경로당,대구광역시 남구 대봉로14길 30 (봉덕동)    
26,남구지회,앞산봉덕영무예다음경로당,대구광역시 남구 대봉로 12 (봉덕동)    
27,남구지회,봉삼경로당,대구광역시 남구 삼정4길 89 (봉덕동)    
