약국명,주소,위도,경도
소명약국,"대구광역시 서구 문화로 230, 상가 301동 108호 (평리동, 서대구역반도유보라센텀)",35.875059707626,128.557353065481
오늘약국,"대구광역시 서구 국채보상로 223, 대원빌딩 106호 (평리동)",35.8708275910413,128.555354614905
홍약국,"대구광역시 서구 국채보상로 294, 1층 (평리동)",35.8716133608966,128.563103574195
남광약국,"대구광역시 서구 팔달로 152, 101호 (비산동)",35.888758584427,128.56662856089
명문약국,"대구광역시 서구 달구벌대로361길 1, 109, 110호 (내당동)",,
사랑약국,대구광역시 서구 북비산로 355 (비산동),35.879662890365,128.57214425898
이노약국,"대구광역시 서구 달서로 187, 1층 (비산동)",35.8789262129415,128.571000502425
중리효성약국,"대구광역시 서구 국채보상로 147, 1층 (평리동)",35.869285593354,128.54722263507
라라약국,"대구광역시 서구 원대로 33, 1층 (원대동1가)",35.8805078148094,128.580128710851
다정약국,"대구광역시 서구 달구벌대로 1771, 1층 (내당동)",35.8586653573132,128.558765367679
영남약국,"대구광역시 서구 국채보상로 246-1, 1층 (평리동)",35.8707337234223,128.557959478783
메디슨약국,"대구광역시 서구 통학로17길 25, 1층 (평리동)",35.8676193278983,128.560779662772
행운약국,"대구광역시 서구 팔달로 176, 1층 (원대동3가)",35.8884075717838,128.56925239614
가람약국,"대구광역시 서구 팔달로 54, 이마트트레이더스 1층 (비산동)",35.8899046563534,128.5559624796
다온약국,"대구광역시 서구 국채보상로 262, 1층 (평리동)",35.871044827826,128.55976249839
새대구약국,대구광역시 서구 큰장로 131 (내당동),35.8700278218136,128.579118105207
비타약국,대구광역시 서구 국채보상로 258 (평리동),35.8710165163255,128.559298705972
라온약국,"대구광역시 서구 팔달로 188, 1층 (원대동3가)",35.8881905964989,128.570532921344
온약국,"대구광역시 서구 문화로 282, 1층 (평리동)",35.8756129096275,128.563499044684
진약국,대구광역시 서구 달서로 62 (비산동),35.8674930520237,128.57124572258
서대구약국,대구광역시 서구 국채보상로 202 (평리동),35.8697423307248,128.553154646206
백세약국,대구광역시 서구 국채보상로 198 (평리동),35.8697189679181,128.552766135148
평리제일약국,"대구광역시 서구 서대구로 192, 1층 (평리동)",35.8750475259551,128.555240249963
새솔약국,"대구광역시 서구 국채보상로 379, 1층 (비산동)",35.8724585955795,128.572378220252
메디팜 보령약국,"대구광역시 서구 국채보상로 429, 1층 (비산동)",35.8715602852246,128.577961192239
최약국,"대구광역시 서구 문화로 230, 상가 301동 107호 (평리동, 서대구역반도유보라센텀)",35.875059707626,128.557353065481
샘물약국,"대구광역시 서구 북비산로 360, 1층 (비산동)",35.8791240644335,128.572538982351
참한양약국,대구광역시 서구 서대구로 74 (평리동),35.8645396816486,128.556360603214
한솔약국,대구광역시 서구 국채보상로 438 (내당동),35.8704763049258,128.578735516516
청암약국,대구광역시 서구 국채보상로 151 (평리동),35.8695208911264,128.547774582894
신평리약국,대구광역시 서구 서대구로 138 (평리동),35.8702112815688,128.555244363097
나은약국,대구광역시 서구 달서로 127-2 (비산동),35.8737064371001,128.570964630063
새 달성약국,대구광역시 서구 고성로 135 (원대동1가),35.8816133290741,128.580458062753
경북약국,대구광역시 서구 큰장로 131 (내당동),35.8700278218136,128.579118105207
메디칼현대약국,대구광역시 서구 팔달로 162 (비산동),35.8886373139864,128.567476107377
세송약국,대구광역시 서구 팔달로 164 (비산동),35.8885922456002,128.567835901562
열린온누리약국,대구광역시 서구 평리로 144 (중리동),35.8585567799697,128.54016732206
시원약국,대구광역시 서구 국채보상로 248 (평리동),35.8708200549025,128.558139975781
신성약국,대구광역시 서구 북비산로 233 (평리동),35.8794239787869,128.558727163493
대경약국,대구광역시 서구 큰장로 133 (내당동),35.8701759904086,128.57915082808
킴스약국,대구광역시 서구 팔달로 154 (비산동),35.888794877034,128.566954965367
대덕팜약국,대구광역시 서구 국채보상로 360 (비산동),35.872004330969,128.570311667228
플러스약국,"대구광역시 서구 달구벌대로 1691, 303호 (내당동, M플라자)",35.8557187655227,128.550710498388
보건약국,대구광역시 서구 평리로 158 (중리동),35.8589830237782,128.541811160964
튼튼약국,대구광역시 서구 국채보상로 354 (비산동),35.8719715178683,128.569567994085
해오름약국,"대구광역시 서구 평리로 243, 1층 (중리동)",35.8627809538684,128.549917496428
유명약국,대구광역시 서구  평리로  245 (중리동),35.8628087884536,128.55020465405
온누리소화약국,"대구광역시 서구 국채보상로 316, 201동 104호 (평리동, 평리롯데캐슬상가)",35.8717612751281,128.56508677082
소담약국,대구광역시 서구 달서로 66 (비산동),35.8680313842315,128.571253584378
행복약국,"대구광역시 서구 국채보상로 316, 201동 303호 (평리동, 평리롯데캐슬)",35.8717612751281,128.56508677082
튼튼한약국,대구광역시 서구 달구벌대로 1807 (내당동),35.8599003674415,128.562428844548
메디팜군위약국,대구광역시 서구 북비산로61길 2 (평리동),35.8796743182426,128.567229809718
참조은약국,"대구광역시 서구 국채보상로50길 20, 116동 108호 (평리동, 평리푸르지오)",35.8699780382206,128.559513513487
동원약국,대구광역시 서구 국채보상로 300 (평리동),35.8715648727356,128.563747880862
명일약국,대구광역시 서구 달서로 270 (원대동3가),35.8857289289101,128.574580120771
서남시장약국,대구광역시 서구 평리로 156 (중리동),35.8587902755557,128.541403263121
미래약국,대구광역시 서구 국채보상로 157 (평리동),35.8694982566137,128.548286197072
효성약국,"대구광역시 서구 달서천로57길 56, 1층 (비산동)",35.8890315107938,128.563173490747
메디팜 은화약국,대구광역시 서구 달구벌대로 1885 (내당동),35.8619435610477,128.570443157592
한사랑약국,대구광역시 서구 평리로 150 (중리동),35.8585843336365,128.540871682005
국도약국,대구광역시 서구 평리로29길 10 (중리동),35.8597784272065,128.539861512854
바른약국,대구광역시 서구 달구벌대로 1729-1 (내당동),35.8571214086817,128.554517132903
늘푸른약국,대구광역시 서구 통학로 54 (내당동),35.8651683653797,128.56413409943
추계약국,대구광역시 서구 달서로 260 (원대동3가),35.8850014016878,128.573984685827
평리약국,대구광역시 서구 문화로49길 31 (평리동),35.8784911735923,128.559000095845
명성약국,대구광역시 서구 달구벌대로 1867 (내당동),35.8615160502918,128.568581554111
수약국,대구광역시 서구 달서로 120 (비산동),35.8728700593176,128.571483108338
신세계약국,대구광역시 서구 큰장로 129 (내당동),35.8698237942642,128.579063902469
하나약국,대구광역시 서구 달서로 188 (비산동),35.8791192823944,128.57157566949
하늘온누리약국,대구광역시 서구 달서로 118 (비산동),35.8727387762002,128.571385629394
우리약국,대구광역시 서구 서대구로62길 3 (비산동),35.8849110104396,128.557550169058
새현약국,대구광역시 서구 달서로 191 (비산동),35.8791863357361,128.571079163106
대지약국,대구광역시 서구 서대구로62길 47 (비산동),35.8860352308828,128.561800138985
광장약국,대구광역시 서구 서대구로 58 (내당동),35.8631522771689,128.556582781012
윤약국,대구광역시 서구 달구벌대로 1805 (내당동),35.8598125068388,128.562186235107
북비산약국,대구광역시 서구 달서로 201 (비산동),35.8803130298603,128.571313906964
혜인약국,대구광역시 서구 서대구로62길 66 (비산동),35.8865219591037,128.563564451875
뉴 서대구약국,대구광역시 서구 북비산로 347 (비산동),35.8800145048342,128.570960764213
아진약국,대구광역시 서구 달구벌대로 1875 (내당동),35.8617324976349,128.569444545359
제일약국,대구광역시 서구 원대로 55 (원대동1가),35.8823074433293,128.580721002459
온누리 광명약국,대구광역시 서구 문화로 196 (평리동),35.8752349658012,128.554028847175
천일약국,대구광역시 서구 서대구로 188 (평리동),35.8747668272702,128.555211732405
메디칼 후문약국,대구광역시 서구 평리로33길 12 (중리동),35.8600704277847,128.541503440143
한가족약국,대구광역시 서구 달서로 159 (비산동),35.8765007313832,128.570983603736
한독약국,대구광역시 서구 달구벌대로 1733 (내당동),35.8572131827046,128.554730135397
수영약국,대구광역시 서구 달서로 184-1 (비산동),35.8787335524346,128.571564948041
경성약국,대구광역시 서구 달구벌대로375길 1 (내당동),35.8615695574461,128.568728072463
동남약국,대구광역시 서구 통학로 27 (내당동),35.8626527284281,128.564078128437
서약국,대구광역시 서구 국채보상로46길 57 (평리동),35.8655096706048,128.557334546574
새솔밭약국,대구광역시 서구 달구벌대로329길 79 (중리동),35.857077826864,128.544650618708
원고개약국,대구광역시 서구 통학로48길 44 (비산동),35.8811983333624,128.567823678753
부광약국,"대구광역시 서구 서대구로 66, 1층 (평리동)",35.86397659121,128.556406384147
대양약국,대구광역시 서구 통학로 86-1 (평리동),35.8680725571477,128.563596325899
달성약국,대구광역시 서구 북비산로74길 41 (비산동),35.8772429320712,128.577273037312
수정약국,"대구광역시 서구 북비산로 244, 1층 (평리동)",35.878963859795,128.559691441427
메디팜 서진약국,대구광역시 서구 문화로 197 (평리동),35.8755366240705,128.55402543918
극동약국,대구광역시 서구 북비산로 160 (평리동),35.8785678428397,128.55055822213
유창약국,대구광역시 서구 서대구로 304 (비산동),35.8846923366877,128.557179241042
건강당약국,대구광역시 서구 문화로 300-1 (평리동),35.8756555861011,128.565556448307
우성약국,대구광역시 서구 북비산로 319-1 (비산동),35.8797050227497,128.568294735745
동화약국,대구광역시 서구 평리로55길 17 (평리동),35.8652143630295,128.55363963215
천우당약국,대구광역시 서구 달서로 76 (비산동),35.8689772661137,128.571229969365
보성약국,대구광역시 서구 북비산로74길 46 (비산동),35.8768470465013,128.577418097894
희온누리약국,"대구광역시 서구 평리로 236, 111호 (내당동)",35.8621568323449,128.54974172186
경명약국,대구광역시 서구 달서천로49길 15 (비산동),35.8849035493356,128.559881453583
세일약국,대구광역시 서구 달서천로41길 66-4 (비산동),35.8877298939673,128.56070044586
봉산약국,대구광역시 서구 북비산로74길 8-1 (비산동),35.8785415351339,128.574033902065
일층봄약국,"대구광역시 달서구 달구벌대로 1521, 1층 (용산동)",35.85003,128.5332
에덴시민약국,"대구광역시 달서구 달구벌대로 1672, 1층 (두류동)",35.8542544,128.5490451
