주소,지점명,전화번호,위도,경도,카테고리
부산강서구녹산산단335로24-12,KB국민은행녹산공단(점),1588-9999,35.0905766960749,128.85533172729146,"금융,보험>금융서비스>은행>KB국민은행"
부산강서구명지국제8로260,KB국민은행명지국제신도시종합금융센터,1588-9999,35.09760631465645,128.9211491989967,"금융,보험>금융서비스>은행>KB국민은행"
부산금정구중앙대로1919,KB국민은행두실역,1588-9999,35.25569900187843,129.0909838396374,"금융,보험>금융서비스>은행>KB국민은행"
부산기장군기장읍차성동로63,KB국민은행기장(점),1588-9999,35.243411685868395,129.21627529597728,"금융,보험>금융서비스>은행>KB국민은행"
부산기장군정관읍정관로563,KB국민은행정관신도시,1588-9999,35.32191457855474,129.1756343330029,"금융,보험>금융서비스>은행>KB국민은행"
부산남구문현금융로40,KB국민은행부산국제금융센터(점),1588-9999,35.14634085353882,129.0651372223441,"금융,보험>금융서비스>은행>KB국민은행"
부산남구분포로113,KB국민은행메트로시티,1588-9999,35.12728401077069,129.1088142709541,"금융,보험>금융서비스>은행>KB국민은행"
부산남구수영로225,KB국민은행대연동종합금융센터,1588-9999,35.135303509212775,129.09113360046928,"금융,보험>금융서비스>은행>KB국민은행"
부산동구범일로102번길8,KB국민은행범일동종합금융센터,1588-9999,35.138851026316075,129.06038973967406,"금융,보험>금융서비스>은행>KB국민은행"
부산동구중앙대로221,KB국민은행부산역,1588-9999,35.11706596887205,129.04038222098274,"금융,보험>금융서비스>은행>KB국민은행"
부산동래구동래로84,KB국민은행명륜동,1588-9999,35.20773739298348,129.08167195321334,"금융,보험>금융서비스>은행>KB국민은행"
부산동래구사직북로16,KB국민은행사직동,1588-9999,35.19730450695713,129.06077847374442,"금융,보험>금융서비스>은행>KB국민은행"
부산동래구아시아드대로239-1,KB국민은행미남(점),1588-9999,35.20545438623475,129.06744693245471,"금융,보험>금융서비스>은행>KB국민은행"
부산동래구온천장로125번길7,KB국민은행동부산종합금융센터,1588-9999,35.22204046839529,129.08460259460043,"금융,보험>금융서비스>은행>KB국민은행"
부산부산진구가야대로578,KB국민은행가야(점),1588-9999,35.15408256005946,129.03522972798797,"금융,보험>금융서비스>은행>KB국민은행"
부산부산진구당감로15,KB국민은행당감동,1588-9999,35.16300376522042,129.03953537718232,"금융,보험>금융서비스>은행>KB국민은행"
부산부산진구복지로2,KB국민은행개금동,1588-9999,35.15271340776618,129.02006685177568,"금융,보험>금융서비스>은행>KB국민은행"
부산부산진구새싹로11,KB국민은행중부산종합금융센터,1588-9999,35.15894862594109,129.05780106480293,"금융,보험>금융서비스>은행>KB국민은행"
부산부산진구새싹로2,KB국민은행서면중앙,1588-9999,35.15856535367469,129.0590368589769,"금융,보험>금융서비스>은행>KB국민은행"
