은행id,은행,지점명,주소,구군,읍면동,위도,경도,교통스코어,복지스코어,고령인구비율,포화도,클러스터
4,BNK부산은행,BNK부산은행구서동금융센터,부산 금정구 구서동 413-3,금정구,구서동,35.2466093062422,129.088523702463,2.5,1.0,4.899250819906047,2.9564764777732537,4
6,BNK부산은행,BNK부산은행금사공단지점,부산 금정구 서동 203-42,금정구,서동,35.2147097481813,129.105624134103,1.0,1.0,8.261355958678793,2.730993448569419,4
7,BNK부산은행,BNK부산은행기장지점,부산 기장군 기장읍 동부리 272-7,기장군,기장읍,35.2449226998494,129.215054323288,1.0,1.0,5.74839942121942,3.074152385535033,4
12,BNK부산은행,BNK부산은행용호동지점,부산 남구 용호동 394-15,남구,용호동,35.1193805368537,129.112247389395,1.0,1.0,5.441724194246511,4.213268497612614,4
24,BNK부산은행,BNK부산은행모라동지점,부산 사상구 모라동 707-6,사상구,모라동,35.1843912367878,128.986905195451,2.5,1.0,6.745064492846829,2.828626420401969,4
26,BNK부산은행,BNK부산은행감전동금융센터,부산 사상구 감전동 131-30,사상구,감전동,35.1552397913408,128.983402215572,1.0,2.8,6.374575219218611,1.5720287226561056,4
27,BNK부산은행,BNK부산은행괴정동지점,부산 사하구 괴정동 939-3,사하구,괴정동,35.0995765919547,128.992356758487,2.5,1.9,6.302088407213189,4.0816152792686085,4
30,BNK부산은행,BNK부산은행망미동지점,부산 수영구 망미동 431-9,수영구,망미동,35.1751639231207,129.107271588077,2.5,1.0,6.983899955810427,6.714568604952438,4
32,BNK부산은행,BNK부산은행민락동지점,부산 수영구 민락동 181-47,수영구,민락동,35.1565517408558,129.125462498924,1.0,1.0,4.752177983486902,5.41921752970352,4
34,BNK부산은행,BNK부산은행수영금융센터,부산 수영구 수영동 445-19,수영구,수영동,35.1679026681883,129.115476182049,4.0,1.0,8.415569114951722,3.1906207202872263,4
49,하나은행,하나은행구서동지점,부산 금정구 구서동 184-3,금정구,구서동,35.256172518598,129.090959751487,1.0,1.0,4.899250819906047,2.9564764777732537,4
50,하나은행,하나은행남산동지점,부산 금정구 남산동 105-9,금정구,남산동,35.266120543554,129.092296589891,1.0,1.0,6.4512844329016925,5.1647111078210015,4
52,하나은행,하나은행메트로시티지점,부산 남구 용호동 176-30,남구,용호동,35.1270970365131,129.109615654482,1.0,1.0,5.441724194246511,4.213268497612614,4
67,하나은행,하나은행다대동지점,부산 사하구 다대동 120-1,사하구,다대동,35.0617919365986,128.977092027344,1.0,1.0,5.110251372619322,5.891336936003258,4
84,국민은행,KB국민은행두실역,부산 금정구 구서동 184-44,금정구,구서동,35.2556990018784,129.090983839637,1.0,1.0,4.899250819906047,2.9564764777732537,4
85,국민은행,KB국민은행기장(점),부산 기장군 기장읍 대라리 57,기장군,기장읍,35.2434116858683,129.216275295977,1.0,1.0,5.74839942121942,3.074152385535033,4
88,국민은행,KB국민은행메트로시티,부산 남구 용호동 176-30,남구,용호동,35.1272840107706,129.108814270954,1.0,1.0,5.441724194246511,4.213268497612614,4
107,국민은행,KB국민은행당리동,부산 사하구 당리동 321-1,사하구,당리동,35.1029839124063,128.976122531781,2.5,1.0,5.725348752217951,4.8092682385164895,4
108,국민은행,KB국민은행괴정역,부산 사하구 괴정동 964-5,사하구,괴정동,35.0990217883447,128.993268725496,2.5,1.9,6.302088407213189,4.0816152792686085,4
128,농협은행,NH농협은행서동지점,부산 금정구 서동 194-53,금정구,서동,35.2150178544998,129.10293415334,1.0,1.0,8.261355958678793,2.730993448569419,4
129,농협은행,NH농협은행구서동지점,부산 금정구 구서동 175-27,금정구,구서동,35.2571835112218,129.091069224364,1.0,1.0,4.899250819906047,2.9564764777732537,4
130,농협은행,NH농협은행기장군지부,부산 기장군 기장읍 대라리 128-1,기장군,기장읍,35.2410375332046,129.213699757553,1.0,1.9,5.74839942121942,3.074152385535033,4
148,농협은행,NH농협은행모라동지점,부산 사상구 모라동 1358-7,사상구,모라동,35.1877576666029,128.990601969656,2.5,1.0,6.745064492846829,2.828626420401969,4
150,농협은행,NH농협은행사상중앙금융센터,부산 사상구 감전동 143-10,사상구,감전동,35.1544601055277,128.982531799952,1.0,1.9,6.374575219218611,1.5720287226561056,4
152,농협은행,NH농협은행다대포지점,부산 사하구 다대동 903,사하구,다대동,35.0567945208069,128.970522843182,2.5,1.0,5.110251372619322,5.891336936003258,4
155,농협은행,NH농협은행광안동지점,부산 수영구 광안동 132-12,수영구,광안동,35.1582860909198,129.120291094738,1.0,1.0,5.18061024532469,3.089750897583003,4
159,농협은행,NH농협은행토곡지점,부산 연제구 연산동 2220-2,연제구,연산동,35.1800610815599,129.107978655423,1.0,1.9,5.119015588320272,2.886340082170485,4
171,우리은행,우리은행기장지점,부산 기장군 기장읍 동부리 267,기장군,기장읍,35.2450175692532,129.214302275553,1.0,1.0,5.74839942121942,3.074152385535033,4
175,우리은행,우리은행메트로시티지점,부산 남구 용호동 170,남구,용호동,35.1256970880271,129.110676397742,1.0,1.0,5.441724194246511,4.213268497612614,4
189,우리은행,우리은행모라동금융센터,부산 사상구 모라동 281-5,사상구,모라동,35.1923481585704,128.988467911896,2.5,1.0,6.745064492846829,2.828626420401969,4
190,우리은행,우리은행사상지점,부산 사상구 감전동 152-2,사상구,감전동,35.1529739772735,128.982316883079,1.0,1.9,6.374575219218611,1.5720287226561056,4
192,우리은행,우리은행괴정동지점,부산 사하구 괴정동 740-1,사하구,괴정동,35.0989706689669,128.988700440677,2.5,1.0,6.302088407213189,4.0816152792686085,4
