선명,역번호,역명,주소,전화번호,위도,경도
1호선,95,다대포해수욕장,부산광역시 사하구 다대로 지하 692(다대동),051-678-6195,35.0481940896552,128.965824285746
1호선,96,다대포항,부산광역시 사하구 다대로 지하548(다대동),051-678-6196,35.0577117929185,128.971280072357
1호선,97,낫개,부산광역시 사하구 다대로 지하442(다대동),051-678-6197,,
1호선,98,신장림,부산광역시 사하구 다대로 지하310(장림동),051-678-6198,35.0747728011479,128.976625251575
1호선,99,장림,부산광역시 사하구 다대로 지하230(장림동),051-678-6199,35.0820126307128,128.977401698897
1호선,100,동매,부산광역시 사하구 신산로 지하168(신평동),051-678-6100,35.0897612301849,128.973447214501
1호선,101,신평,부산광역시 사하구 하신번영로 140,051-678-6101,35.0921593227113,128.960589576547
1호선,102,하단,부산광역시 사하구 낙동남로 지하 1415,051-678-6102,35.1061809647053,128.96623783418
1호선,103,당리,부산광역시 사하구 낙동대로 지하 405,051-678-6103,35.103490469216,128.973849682519
1호선,104,사하,부산광역시 사하구 낙동대로 지하 309,051-678-6104,35.099810965388,128.983077618022
1호선,105,괴정,부산광역시 사하구 낙동대로 지하 221,051-678-6105,35.0998988696447,128.992503863017
1호선,106,대티,부산광역시 사하구 낙동대로 지하 141,051-678-6106,35.1030802302734,128.999916782834
1호선,107,서대신,부산광역시 서구 대영로 지하 1,051-678-6107,35.1109028475878,129.012175222757
1호선,108,동대신,부산광역시 서구 구덕로 지하 290,051-678-6108,35.1104877877446,129.017620766092
1호선,109,토성,부산광역시 서구 구덕로 지하 170,051-678-6109,35.1007070222773,129.01978613175
1호선,110,자갈치,부산광역시 중구 구덕로 지하 80,051-678-6110,35.0973771029191,129.026592291727
1호선,111,남포,부산광역시 중구 구덕로 지하 12,051-678-6111,35.097872305432,129.034595436377
1호선,112,중앙,부산광역시 중구 중앙대로 지하 83,051-678-6112,35.1037576682489,129.036356886138
1호선,113,부산역,부산광역시 동구 중앙대로 지하 200,051-678-6113,35.1144392315358,129.039279645964
1호선,114,초량,부산광역시 동구 중앙대로 지하 264,051-678-6114,35.1211680273914,129.042990876284
1호선,115,부산진,부산광역시 동구 중앙대로 지하 350,051-678-6115,35.1277608563561,129.047877083539
1호선,116,좌천,부산광역시 동구 중앙대로 지하 446,051-678-6116,35.1343024702659,129.054309788509
1호선,117,범일,부산광역시 동구 범일로 지하 108,051-678-6117,35.1407227839329,129.059343471388
1호선,118,범내골,부산광역시 부산진구 중앙대로 지하 612,051-678-6118,35.1473559993163,129.059236450565
1호선,119,서면,부산광역시 부산진구 중앙대로 지하 730,051-678-6119,35.157764059003,129.059035752371
1호선,120,부전,부산광역시 부산진구 중앙대로 지하 786,051-678-6120,35.1626355663375,129.063011866198
1호선,121,양정,부산광역시 부산진구 중앙대로 지하 930,051-678-6121,35.172966889552,129.071221709878
1호선,122,시청,부산광역시 연제구 중앙대로 지하 1017,051-678-6122,35.1797766776316,129.076623899785
1호선,123,연산,부산광역시 연제구 중앙대로 지하 1101,051-678-6123,35.1860724027287,129.081505014634
1호선,124,교대,부산광역시 연제구 중앙대로 지하 1217,051-678-6124,35.1960996522297,129.079888998569
