선명,역번호,역명,주소,전화번호,위도,경도
1호선,95,다대포해수욕장,부산광역시 사하구 다대로 지하 692(다대동),051-678-6195,,
1호선,96,다대포항,부산광역시 사하구 다대로 지하548(다대동),051-678-6196,,
1호선,97,낫개,부산광역시 사하구 다대로 지하442(다대동),051-678-6197,,
1호선,98,신장림,부산광역시 사하구 다대로 지하310(장림동),051-678-6198,,
1호선,99,장림,부산광역시 사하구 다대로 지하230(장림동),051-678-6199,,
1호선,100,동매,부산광역시 사하구 신산로 지하168(신평동),051-678-6100,,
1호선,101,신평,부산광역시 사하구 하신번영로 140,051-678-6101,,
1호선,102,하단,부산광역시 사하구 낙동남로 지하 1415,051-678-6102,,
1호선,103,당리,부산광역시 사하구 낙동대로 지하 405,051-678-6103,,
1호선,104,사하,부산광역시 사하구 낙동대로 지하 309,051-678-6104,,
1호선,105,괴정,부산광역시 사하구 낙동대로 지하 221,051-678-6105,,
1호선,106,대티,부산광역시 사하구 낙동대로 지하 141,051-678-6106,,
1호선,107,서대신,부산광역시 서구 대영로 지하 1,051-678-6107,,
1호선,108,동대신,부산광역시 서구 구덕로 지하 290,051-678-6108,,
1호선,109,토성,부산광역시 서구 구덕로 지하 170,051-678-6109,,
1호선,110,자갈치,부산광역시 중구 구덕로 지하 80,051-678-6110,,
1호선,111,남포,부산광역시 중구 구덕로 지하 12,051-678-6111,,
1호선,112,중앙,부산광역시 중구 중앙대로 지하 83,051-678-6112,,
1호선,113,부산역,부산광역시 동구 중앙대로 지하 200,051-678-6113,,
1호선,114,초량,부산광역시 동구 중앙대로 지하 264,051-678-6114,,
1호선,115,부산진,부산광역시 동구 중앙대로 지하 350,051-678-6115,,
1호선,116,좌천,부산광역시 동구 중앙대로 지하 446,051-678-6116,,
1호선,117,범일,부산광역시 동구 범일로 지하 108,051-678-6117,,
1호선,118,범내골,부산광역시 부산진구 중앙대로 지하 612,051-678-6118,,
1호선,119,서면,부산광역시 부산진구 중앙대로 지하 730,051-678-6119,,
1호선,120,부전,부산광역시 부산진구 중앙대로 지하 786,051-678-6120,,
1호선,121,양정,부산광역시 부산진구 중앙대로 지하 930,051-678-6121,,
1호선,122,시청,부산광역시 연제구 중앙대로 지하 1017,051-678-6122,,
1호선,123,연산,부산광역시 연제구 중앙대로 지하 1101,051-678-6123,,
1호선,124,교대,부산광역시 연제구 중앙대로 지하 1217,051-678-6124,,
1호선,125,동래,부산광역시 동래구 중앙대로 1324,051-678-6125,,
1호선,126,명륜,부산광역시 동래구 중앙대로 1414,051-678-6126,,
1호선,127,온천장,부산광역시 동래구 중앙대로 1520,051-678-6127,,
1호선,128,부산대,부산광역시 금정구 장전온천천로 48,051-678-6128,,
1호선,129,장전,부산광역시 금정구 장전온천천로 144,051-678-6129,,
1호선,130,구서,부산광역시 금정구 금정로 233번길 46,051-678-6130,,
1호선,131,두실,부산광역시 금정구 중앙대로 지하 1927-1,051-678-6131,,
1호선,132,남산,부산광역시 금정구 중앙대로 지하 2019-1,051-678-6132,,
1호선,133,범어사,부산광역시 금정구 중앙대로 지하 2107,051-678-6133,,
1호선,134,노포,부산광역시 금정구 중앙대로 2238,051-678-6134,,
2호선,201,장산,부산광역시 해운대구 해운대로 지하 820,051-678-6201,,
2호선,202,중동,부산광역시 해운대구 해운대로 지하 730,051-678-6202,,
2호선,203,해운대,부산광역시 해운대구 해운대로 지하 626,051-678-6203,,
2호선,204,동백,부산광역시 해운대구 해운대로 지하 522,051-678-6204,,
2호선,205,벡스코,부산광역시 해운대구 해운대로 지하 396,051-678-6205,,
2호선,206,센텀시티,부산광역시 해운대구 센텀남대로 지하 76,051-678-6206,,
2호선,207,민락,부산광역시 수영구 수영로 지하 769,051-678-6207,,
2호선,209,수영,부산광역시 수영구 수영로 지하 677,051-678-6208,,
2호선,209,광안,부산광역시 수영구 수영로 지하 576,051-678-6209,,
2호선,210,금련산,부산광역시 수영구 수영로 지하 482,051-678-6210,,
2호선,211,남천,부산광역시 수영구 수영로 지하 410,051-678-6211,,
2호선,212,경성대·부경대,부산광역시 남구 수영로 지하 324,051-678-6212,,
2호선,213,대연,부산광역시 남구 수영로 지하 242,051-678-6213,,
2호선,214,못골,부산광역시 남구 수영로 지하 170,051-678-6214,,
2호선,215,지게골,부산광역시 남구 수영로 지하 70,051-678-6215,,
2호선,216,문현,부산광역시 남구 전포대로 지하 17,051-678-6216,,
2호선,217,국제금융센터·부산은행,부산광역시 남구 전포대로 지하 97,051-678-6217,,
2호선,218,전포,부산광역시 부산진구 전포대로 지하 181,051-678-6218,,
2호선,219,서면,부산광역시 부산진구 중앙대로 지하 730,051-678-6219,,
2호선,220,부암,부산광역시 부산진구 가야대로 지하 719,051-678-6220,,
2호선,221,가야,부산광역시 부산진구 가야대로 지하 650,051-678-6221,,
2호선,222,동의대,부산광역시 부산진구 가야대로 지하 554,051-678-6222,,
2호선,223,개금,부산광역시 부산진구 가야대로 지하 442,051-678-6223,,
2호선,224,냉정,부산광역시 사상구 가야대로 지하 362-1,051-678-6224,,
2호선,225,주례,부산광역시 사상구 가야대로 지하 292,051-678-6225,,
