은행id,은행,지점명,주소,위도,경도,구군,읍면동
1,BNK부산은행,BNK부산은행명지국제신도시지점,부산강서구명지국제8로251,35.0983424168502,128.920477848774,부산강서구,
2,BNK부산은행,BNK부산은행강서산단지점,부산강서구미음산단로127번길21,35.137415537278,128.857945401734,부산강서구,
3,BNK부산은행,BNK부산은행서부산유통단지지점,부산강서구유통단지1로41,35.1673140458844,128.955735697538,부산강서구,
4,BNK부산은행,BNK부산은행구서동금융센터,부산금정구구서로23,35.2466093062422,129.088523702463,부산금정구구,
5,BNK부산은행,BNK부산은행장전동지점,부산금정구금정로75,35.2313747651138,129.086420785835,부산금정구,
6,BNK부산은행,BNK부산은행금사공단지점,부산금정구서동로173,35.2147097481813,129.105624134103,부산금정구,부산금정구서동
7,BNK부산은행,BNK부산은행기장지점,부산기장군기장읍읍내로98,35.2449226998494,129.215054323288,부산기장군,부산기장군기장읍읍
8,BNK부산은행,BNK부산은행일광지점,부산기장군일광읍해빛로17,35.2663013411502,129.226020382459,부산기장군,부산기장군일광읍
9,BNK부산은행,BNK부산은행본점,부산남구문현금융로30,35.1454371730607,129.066130331507,부산남구,
10,BNK부산은행,BNK부산은행대연동금융센터,부산남구수영로234,35.1348856903077,129.09221112365,부산남구,
11,BNK부산은행,BNK부산은행문현동지점,부산남구수영로27,35.1372222803994,129.070873538172,부산남구,
12,BNK부산은행,BNK부산은행용호동지점,부산남구용호로141,35.1193805368537,129.112247389395,부산남구,
13,BNK부산은행,BNK부산은행범일동지점,부산동구범일로92,35.1381935697287,129.059836715183,부산동구,부산동
14,BNK부산은행,BNK부산은행초량동지점,부산동구중앙대로251번길29,35.1197289155769,129.040168962178,부산동구,부산동
15,BNK부산은행,BNK부산은행온천동지점,부산동래구금강공원로13-1,35.2184369586438,129.082760021235,부산동래구,부산동
16,BNK부산은행,BNK부산은행사직동금융센터,부산동래구아시아드대로189,35.2013169441312,129.06476858477,부산동래구,부산동
17,BNK부산은행,BNK부산은행수안동지점,부산동래구충렬대로212,35.2020712429038,129.08244074548,부산동래구,부산동
18,BNK부산은행,BNK부산은행부전동금융센터,부산부산진구새싹로1,35.1582495465406,129.058424280592,부산부산진구,
19,BNK부산은행,BNK부산은행전포역지점,부산부산진구전포대로200,35.1543231602649,129.065782286165,부산부산진구,
