은행id,은행,지점명,주소,위도,경도,구군,읍면동
1,BNK부산은행,BNK부산은행명지국제신도시지점,부산 강서구 명지동 3358-1,35.0983424168502,128.920477848774,강서구,명지동
2,BNK부산은행,BNK부산은행강서산단지점,부산 강서구 구랑동 1168-4,35.137415537278,128.857945401734,강서구,구랑동
3,BNK부산은행,BNK부산은행서부산유통단지지점,부산 강서구 대저2동 3153-1,35.1673140458844,128.955735697538,강서구,
4,BNK부산은행,BNK부산은행구서동금융센터,부산 금정구 구서동 413-3,35.2466093062422,129.088523702463,금정구,구서동
5,BNK부산은행,BNK부산은행장전동지점,부산 금정구 장전동 417-36,35.2313747651138,129.086420785835,금정구,장전동
6,BNK부산은행,BNK부산은행금사공단지점,부산 금정구 서동 203-42,35.2147097481813,129.105624134103,금정구,서동
7,BNK부산은행,BNK부산은행기장지점,부산 기장군 기장읍 동부리 272-7,35.2449226998494,129.215054323288,기장군,기장읍
8,BNK부산은행,BNK부산은행일광지점,부산 기장군 일광읍 삼성리 825,35.2663013411502,129.226020382459,기장군,일광읍
9,BNK부산은행,BNK부산은행본점,부산 남구 문현동 1231,35.1454371730607,129.066130331507,남구,문현동
10,BNK부산은행,BNK부산은행대연동금융센터,부산 남구 대연동 1740-8,35.1348856903077,129.09221112365,남구,대연동
11,BNK부산은행,BNK부산은행문현동지점,부산 남구 문현동 361-32,35.1372222803994,129.070873538172,남구,문현동
12,BNK부산은행,BNK부산은행용호동지점,부산 남구 용호동 394-15,35.1193805368537,129.112247389395,남구,용호동
13,BNK부산은행,BNK부산은행범일동지점,부산 동구 범일동 830-38,35.1381935697287,129.059836715183,동구,범일동
14,BNK부산은행,BNK부산은행초량동지점,부산 동구 초량동 146-4,35.1197289155769,129.040168962178,동구,초량동
15,BNK부산은행,BNK부산은행온천동지점,부산 동래구 온천동 180-4,35.2184369586438,129.082760021235,동래구,온천동
16,BNK부산은행,BNK부산은행사직동금융센터,부산 동래구 사직동 56-6,35.2013169441312,129.06476858477,동래구,사직동
17,BNK부산은행,BNK부산은행수안동지점,부산 동래구 수안동 1-11,35.2020712429038,129.08244074548,동래구,수안동
18,BNK부산은행,BNK부산은행부전동금융센터,부산 부산진구 부전동 259-4,35.1582495465406,129.058424280592,부산진구,부전동
19,BNK부산은행,BNK부산은행전포역지점,부산 부산진구 전포동 345-2,35.1543231602649,129.065782286165,부산진구,전포동
20,BNK부산은행,BNK부산은행범내골금융센터,부산 부산진구 범천동 856-1,35.1478518660167,129.059594116486,부산진구,범천동
21,BNK부산은행,BNK부산은행서면롯데1번가지점,부산 부산진구 부전동 517-60,35.1546720575553,129.057250036726,부산진구,부전동
22,BNK부산은행,BNK부산은행구포지점,부산 북구 덕천동 403-2,35.2093615954387,129.005710913711,북구,덕천동
23,BNK부산은행,BNK부산은행화명동금융센터,부산 북구 화명동 2276-1,35.2345904604119,129.011147150983,북구,화명동
24,BNK부산은행,BNK부산은행모라동지점,부산 사상구 모라동 707-6,35.1843912367878,128.986905195451,사상구,모라동
25,BNK부산은행,BNK부산은행사상금융센터,부산 사상구 주례동 693-10,35.1504811905541,128.998775049184,사상구,주례동
26,BNK부산은행,BNK부산은행감전동금융센터,부산 사상구 감전동 131-30,35.1552397913408,128.983402215572,사상구,감전동
27,BNK부산은행,BNK부산은행괴정동지점,부산 사하구 괴정동 939-3,35.0995765919547,128.992356758487,사하구,괴정동
28,BNK부산은행,BNK부산은행하단동금융센터,부산 사하구 하단동 617-12,35.1056126030304,128.968152151644,사하구,하단동
29,BNK부산은행,BNK부산은행대신동지점,부산 서구 서대신동3가 389-1,35.1128011972407,129.016126409662,서구,서대신동
30,BNK부산은행,BNK부산은행망미동지점,부산 수영구 망미동 431-9,35.1751639231207,129.107271588077,수영구,망미동
31,BNK부산은행,BNK부산은행광남지점,부산 수영구 남천동 27-6,35.1458322202752,129.110847467559,수영구,남천동
32,BNK부산은행,BNK부산은행민락동지점,부산 수영구 민락동 181-47,35.1565517408558,129.125462498924,수영구,민락동
33,BNK부산은행,BNK부산은행광안동지점,부산 수영구 광안동 118-2,35.1605473418771,129.11403907797,수영구,광안동
34,BNK부산은행,BNK부산은행수영금융센터,부산 수영구 수영동 445-19,35.1679026681883,129.115476182049,수영구,수영동
35,BNK부산은행,BNK부산은행거제동지점,부산 연제구 거제동 583-16,35.1831921985668,129.070612540187,연제구,거제동
36,BNK부산은행,BNK부산은행부산시청지점,부산 연제구 연산동 1000,35.1792861474813,129.075953085264,연제구,연산동
37,BNK부산은행,BNK부산은행연산동금융센터,부산 연제구 연산동 1384-1,35.1840560215961,129.079625330249,연제구,연산동
38,BNK부산은행,BNK부산은행신창동지점,부산 중구 신창동1가 8-2,35.1006012771664,129.030902241446,중구,신창동
39,BNK부산은행,BNK부산은행부평동금융센터,부산 중구 부평동2가 2-1,35.1028159443334,129.026081836919,중구,부평동
40,BNK부산은행,BNK부산은행중앙동금융센터,부산 중구 중앙동4가 89-2,35.1062753883467,129.036575471179,중구,중앙동
41,BNK부산은행,BNK부산은행반여동지점,부산 해운대구 반여동 1361-1,35.1959665166808,129.118087648077,해운대구,반여동
42,BNK부산은행,BNK부산은행장산지점,부산 해운대구 좌동 1484-2,35.168759497161,129.178454604514,해운대구,좌동
