은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,지점당인구수,클러스터,정책제안클러스터
1,iM뱅크(구 대구은행),DGB Mobile Bank,대구광역시 수성구 수성동2가 달구벌대로2310,수성구,수성2.3가동,35.85933467,128.6149707,7.2,5.98,10377,2099,4.03,5,1.28,1,
2,iM뱅크(구 대구은행),가톨릭대학병원출장소,대구광역시 남구 대명동 두류공원로17길33,남구,대명4동,35.84418911,128.5658257,2.19,1.67,9402,3085,7.5,3,1.53,0,
3,iM뱅크(구 대구은행),경북대병원지점,대구광역시 중구 삼덕2가 동덕로130,중구,삼덕동,35.86625113,128.6047026,3.53,5.54,7352,959,2.05,2,1.65,4,
4,iM뱅크(구 대구은행),경북대지점,대구광역시 북구 산격동 대학로80,북구,대현동,35.88909749,128.6143223,3.11,1.0,15719,4215,5.85,4,1.71,0,
5,iM뱅크(구 대구은행),계명대동산병원점,대구광역시 달서구 신당동 달구벌대로1035,달서구,신당동,35.85395649,128.4802258,1.93,3.88,28366,5444,3.75,6,1.9,7,
6,iM뱅크(구 대구은행),계명대지점,대구광역시 달서구 신당동 달구벌대로1095,달서구,신당동,35.8559056,128.484579,1.45,1.0,28366,5444,3.75,6,1.9,3,
7,iM뱅크(구 대구은행),계산점,대구광역시 중구 계산동2가 서성로20,중구,성내2동,35.86846041,128.5873458,3.24,7.6,8426,1319,2.77,3,1.45,4,
8,iM뱅크(구 대구은행),광장지점,대구광역시 달서구 두류동 달구벌대로1698,달서구,두류3동,35.85515564,128.5515683,5.49,4.31,9051,2395,5.75,1,2.89,6,
9,iM뱅크(구 대구은행),구암점,대구광역시 북구 구암동 구암로32길6-20,북구,구암동,35.93132201,128.5559881,6.82,6.09,31074,4860,2.77,4,2.6,1,
10,iM뱅크(구 대구은행),금호사수점,대구광역시 북구 사수동 한강로4길13-1,북구,관문동,35.89541594,128.5148801,2.07,1.39,32670,5712,3.28,2,4.57,2,
11,iM뱅크(구 대구은행),남구청출장소,대구광역시 남구 봉덕동 이천로51,남구,봉덕1동,35.84578414,128.59726,3.59,3.59,7906,2480,7.1,5,1.17,0,
12,iM뱅크(구 대구은행),남문시장지점,대구광역시 중구 남산동 중앙대로303,중구,남산1동,35.86044465,128.5918052,3.92,9.0,5097,1033,4.04,2,1.39,4,
13,iM뱅크(구 대구은행),내당동지점,대구광역시 서구 내당동 달서로1,서구,내당2.3동,35.86244661,128.5716056,4.4,4.58,8107,2898,8.31,1,2.67,6,
14,iM뱅크(구 대구은행),노변지점,대구광역시 수성구 시지동 시지로55,수성구,고산2동,35.83816085,128.6960922,4.38,1.0,25996,5025,3.79,2,3.8,7,
15,iM뱅크(구 대구은행),노원동지점,대구광역시 북구 노원동3가 노원로169,북구,노원동,35.89937286,128.5785879,1.98,1.52,11171,3107,6.12,4,1.45,0,
16,iM뱅크(구 대구은행),다사지점,대구광역시 달성군 다사읍 달구벌대로879,달성군,다사읍,35.85795042,128.4655708,5.29,7.01,51889,7663,2.53,2,6.79,1,
17,iM뱅크(구 대구은행),달서구청출장소,대구광역시 달서구 월성동 학산로45,달서구,월성2동,35.82991552,128.5328356,4.83,4.75,13814,5124,8.68,3,1.87,6,
18,iM뱅크(구 대구은행),달성공단영업부,대구광역시 달성군 논공읍 논공중앙로33길17,달성군,논공읍,35.73104702,128.4522915,1.94,1.04,4224,1380,7.46,5,1.0,0,
19,iM뱅크(구 대구은행),달성군청출장소,대구광역시 달성군 논공읍 달성군청로33,달성군,논공읍,35.77466317,128.4313897,1.92,1.0,4224,1380,7.46,5,1.0,0,0.0
20,iM뱅크(구 대구은행),대곡역점,대구광역시 달성군 화원읍 비슬로2723,달성군,화원읍,35.80982614,128.5126882,6.6,5.49,45973,10405,4.7,3,4.34,1,
