은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,포화도,클러스터,경로당수,복지회관수,버스정류장수,지하철역수,경유노선합
1,iM뱅크(구 대구은행),DGB Mobile Bank,대구광역시 수성구 수성동2가 달구벌대로2310,수성구,수성2.3가동,35.85933467,128.6149707,7.203646989,5.983127212,10377,2099,4.032506893253274,5,1.283670395869191,1,17,0,16,1,29.741398670382885
2,iM뱅크(구 대구은행),가톨릭대학병원출장소,대구광역시 남구 대명동 두류공원로17길33,남구,대명4동,35.84418911,128.5658257,2.193438016,1.672771188,9402,3085,7.499026808377577,3,1.5276924022621097,0,1,0,7,0,15.766707175694725
3,iM뱅크(구 대구은행),경북대병원지점,대구광역시 중구 삼덕2가 동덕로130,중구,삼덕동,35.86625113,128.6047026,3.53138364,5.538798199,7352,959,2.053821207914343,2,1.6526309318908288,4,6,0,11,1,27.745048146957902
4,iM뱅크(구 대구은행),경북대지점,대구광역시 북구 산격동 대학로80,북구,대현동,35.88909749,128.6143223,3.105214656,1.0,15719,4215,5.846994448843874,4,1.7111238320629458,0,4,0,5,0,11.180339887498949
5,iM뱅크(구 대구은행),계명대동산병원점,대구광역시 달서구 신당동 달구벌대로1035,달서구,신당동,35.85395649,128.4802258,1.926597194,3.881042655,28366,5444,3.7472918008807294,6,1.8950547087072784,7,4,0,9,1,20.296826099971096
6,iM뱅크(구 대구은행),계명대지점,대구광역시 달서구 신당동 달구벌대로1095,달서구,신당동,35.8559056,128.484579,1.449674845,1.0,28366,5444,3.7472918008807294,6,1.8950547087072784,3,0,0,4,0,10.190482107695537
7,iM뱅크(구 대구은행),계산점,대구광역시 중구 계산동2가 서성로20,중구,성내2동,35.86846041,128.5873458,3.238556502,7.6,8426,1319,2.7727177408600783,3,1.4526985493760758,4,5,0,22,1,48.50816343527839
8,iM뱅크(구 대구은행),광장지점,대구광역시 달서구 두류동 달구벌대로1698,달서구,두류3동,35.85515564,128.5515683,5.488578843,4.311815735,9051,2395,5.749616332057619,1,2.891643103024342,6,7,1,11,1,22.23227042107481
9,iM뱅크(구 대구은행),구암점,대구광역시 북구 구암동 구암로32길6-20,북구,구암동,35.93132201,128.5559881,6.818089668,6.089445322,31074,4860,2.768904529215868,4,2.5960090361445785,1,16,0,15,1,30.219081217247204
10,iM뱅크(구 대구은행),금호사수점,대구광역시 북구 사수동 한강로4길13-1,북구,관문동,35.89541594,128.5148801,2.074627597,1.388320121,32670,5712,3.2767994461595933,2,4.57070629456602,2,3,0,9,0,14.488681162590577
11,iM뱅크(구 대구은행),남구청출장소,대구광역시 남구 봉덕동 이천로51,남구,봉덕1동,35.84578414,128.59726,3.587704785,3.594363113,7906,2480,7.101384762285553,5,1.169750430292599,0,6,0,17,0,24.400334362401832
12,iM뱅크(구 대구은행),남문시장지점,대구광역시 중구 남산동 중앙대로303,중구,남산1동,35.86044465,128.5918052,3.924918201,9.002717866,5097,1033,4.04335912210593,2,1.3927265183181707,4,5,0,14,4,32.52519196303738
13,iM뱅크(구 대구은행),내당동지점,대구광역시 서구 내당동 달서로1,서구,내당2.3동,35.86244661,128.5716056,4.404365791,4.580879498,8107,2898,8.307407147348716,1,2.674037988689452,6,7,0,11,1,23.441161957549905
