철도운영기관명,선명,역명,도로명주소,전화번호,위도,경도,구군,동
대구교통공사,1호선,각산,대구광역시 동구 안심로 지하 363(신서동),053-963-7754,35.8680021651868,128.724165388395,동구,신서동
대구교통공사,1호선,교대,대구광역시 남구 중앙대로 지하 194(대명동),053-473-7702,35.8500946138926,128.590595753027,남구,대명동
대구교통공사,1호선,대곡(정부대구청사),대구광역시 달서구 비슬로 지하 2718,053-644-7723,35.8094387559809,128.512485512452,달서구,
대구교통공사,1호선,대구역,대구광역시 북구 칠성남로30길 지하 24,053-426-7797,35.8763437907874,128.597215197964,북구,
대구교통공사,1호선,대명,대구광역시 남구 대명로 지하71,053-627-7746,35.8393139560409,128.565377667483,남구,
대구교통공사,1호선,동구청(큰고개),대구광역시 동구 신암남로 지하169(신암동),053-942-7721,35.8842379937945,128.632083488086,동구,신암동
대구교통공사,1호선,동대구역,대구광역시 동구 동대구로 지하530( 신천동),053-742-7787,35.8774298682917,128.62732526467,동구,신천동
대구교통공사,1호선,동촌(동촌유원지),대구광역시 동구 해동로 지하197(검사동),053-981-7731,35.8859617817579,128.650457826797,동구,검사동
대구교통공사,1호선,명덕(2.28민주운동기념회관),대구광역시 중구 명덕로 지하185(남산동),053-255-7723,35.8579525546808,128.591150709043,중구,남산동
대구교통공사,1호선,반야월,대구광역시 동구 안심로 지하261,053-962-7798,35.8659888735073,128.713656558767,동구,
대구교통공사,1호선,반월당,대구광역시 중구 달구벌대로 지하2100(덕산동),053-255-7735,35.8644213158621,128.593340834492,중구,덕산동
대구교통공사,1호선,방촌,대구광역시 동구 동촌로 지하275(방촌동),053-984-7716,35.8796374696144,128.67012075056,동구,방촌동
대구교통공사,1호선,상인,대구광역시 달서구 월배로 지하 223,053-642-7745,35.8189519841654,128.537897144007,달서구,
대구교통공사,1호선,서부정류장(관문시장),대구광역시 남구 월배로 지하501 (대명동),053-651-7736,35.8371280140155,128.557028988871,남구,대명동
대구교통공사,1호선,설화명곡,대구광역시 달성군 비슬로 지하 2476,053-634-2674,35.7986729223813,128.489259151701,달성군,
대구교통공사,1호선,송현,대구광역시 달서구 월배로 지하 412,053-626-7730,35.8310680580574,128.551746354865,달서구,
대구교통공사,1호선,신기,대구광역시 동구 안심로 지하159(신기동),053-962-7773,35.8667008193255,128.702475235316,동구,신기동
대구교통공사,1호선,신천(경북대입구),대구광역시 동구 동부로 지하 41,053-756-7706,35.874633410353,128.617650223636,동구,
대구교통공사,1호선,아양교(대구국제공항입구),대구광역시 동구 아양로 지하245(신암동),053-942-7724,35.8871190029575,128.639644975751,동구,신암동
대구교통공사,1호선,안심(혁신도시·첨복단지),대구광역시 동구 안심로 지하 455,053-963-7769,35.8712803753692,128.733772871365,동구,
대구교통공사,1호선,안지랑,대구광역시 남구 대명로 지하 141,053-626-7747,35.8392666155309,128.57317635059,남구,
대구교통공사,1호선,영대병원,대구광역시 남구 대명로 지하 292 영대병원역,053-626-7760,35.843950327515,128.587618311848,남구,
대구교통공사,1호선,용계,대구광역시 동구 동촌로 지하 383,053-985-7798,35.8762453850392,128.681644193766,동구,
대구교통공사,1호선,월배,대구광역시 달서구 월배로 지하 143,053-642-7732,35.8161414091445,128.53032556924,달서구,
대구교통공사,1호선,월촌,대구광역시 달서구 월배로 지하 311,053-626-7710,35.8237325283715,128.545490846925,달서구,
대구교통공사,1호선,율하,대구광역시 동구 안심로 지하57,053-962-7729,35.8697780719486,128.692779243132,동구,
대구교통공사,1호선,중앙로,대구광역시 중구 중앙대로 424 중앙로역,053-256-7746,35.8709646122443,128.594012924936,중구,
대구교통공사,1호선,진천,대구광역시 달서구 월배로 지하 76,053-642-7723,35.8138906159416,128.523115492873,달서구,
대구교통공사,1호선,칠성시장,대구광역시 북구 칠성남로 지하222 (칠성동),053-427-7751,35.8761274529496,128.605168503159,북구,칠성동
대구교통공사,1호선,해안,대구광역시 동구 동촌로 지하167(방촌동),053-981-7775,35.88350285674,128.659918132912,동구,방촌동
대구교통공사,1호선,현충로,대구광역시 남구 대명로 지하222 (대명동),053-651-7756,35.8411755565813,128.581924140795,남구,대명동
대구교통공사,1호선,화원,대구광역시 달성군 화원읍 비슬로 2600,053-634-5125,35.8044340709675,128.500678990227,달성군,화원읍
대구교통공사,2호선,감삼,대구광역시 달서구 달구벌대로 지하 1665(감삼동),053-552-2856,35.8542352631467,128.547903756877,달서구,감삼동
대구교통공사,2호선,강창,대구광역시 달서구 달구벌대로 지하1014,053-585-0660,35.8530784098405,128.478343767188,달서구,
대구교통공사,2호선,경대병원,대구광역시 중구 달구벌대로 지하2190 (삼덕동),053-427-0523,35.8632004713941,128.602801032774,중구,삼덕동
